data,cidade,latitude,longitude,precipitacao_mm,fonte
2026-07-08,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-08,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-08,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-08,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-08,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-08,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-08,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-08,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-09,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-09,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-09,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-09,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-09,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-09,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-09,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-09,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-09,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-09,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-10,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-10,Caxias do Sul,-29.1681,-51.1794,2.3,Open-Meteo ERA5
2026-07-10,Lajeado,-29.4669,-51.9614,11.3,Open-Meteo ERA5
2026-07-10,Passo Fundo,-28.2625,-52.4083,38.2,Open-Meteo ERA5
2026-07-10,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-10,Porto Alegre,-30.0346,-51.2177,0.2,Open-Meteo ERA5
2026-07-10,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-10,Santa Cruz do Sul,-29.7186,-52.4311,0.2,Open-Meteo ERA5
2026-07-10,Santa Maria,-29.6842,-53.8069,1.2,Open-Meteo ERA5
2026-07-10,Uruguaiana,-29.7547,-57.0883,0.1,Open-Meteo ERA5
2026-07-11,Bagé,-31.3314,-54.1069,2.1,Open-Meteo ERA5
2026-07-11,Caxias do Sul,-29.1681,-51.1794,10.6,Open-Meteo ERA5
2026-07-11,Lajeado,-29.4669,-51.9614,15.3,Open-Meteo ERA5
2026-07-11,Passo Fundo,-28.2625,-52.4083,35.6,Open-Meteo ERA5
2026-07-11,Pelotas,-31.7654,-52.3376,7.6,Open-Meteo ERA5
2026-07-11,Porto Alegre,-30.0346,-51.2177,2.7,Open-Meteo ERA5
2026-07-11,Rio Grande,-32.035,-52.0986,8.2,Open-Meteo ERA5
2026-07-11,Santa Cruz do Sul,-29.7186,-52.4311,12.7,Open-Meteo ERA5
2026-07-11,Santa Maria,-29.6842,-53.8069,16.8,Open-Meteo ERA5
2026-07-11,Uruguaiana,-29.7547,-57.0883,0.4,Open-Meteo ERA5
2026-07-12,Bagé,-31.3314,-54.1069,1.9,Open-Meteo ERA5
2026-07-12,Caxias do Sul,-29.1681,-51.1794,5.4,Open-Meteo ERA5
2026-07-12,Lajeado,-29.4669,-51.9614,0.4,Open-Meteo ERA5
2026-07-12,Passo Fundo,-28.2625,-52.4083,1.3,Open-Meteo ERA5
2026-07-12,Pelotas,-31.7654,-52.3376,5.0,Open-Meteo ERA5
2026-07-12,Porto Alegre,-30.0346,-51.2177,2.6,Open-Meteo ERA5
2026-07-12,Rio Grande,-32.035,-52.0986,3.4,Open-Meteo ERA5
2026-07-12,Santa Cruz do Sul,-29.7186,-52.4311,1.1,Open-Meteo ERA5
2026-07-12,Santa Maria,-29.6842,-53.8069,2.0,Open-Meteo ERA5
2026-07-12,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-13,Bagé,-31.3314,-54.1069,0.3,Open-Meteo ERA5
2026-07-13,Caxias do Sul,-29.1681,-51.1794,0.3,Open-Meteo ERA5
2026-07-13,Lajeado,-29.4669,-51.9614,0.4,Open-Meteo ERA5
2026-07-13,Passo Fundo,-28.2625,-52.4083,0.1,Open-Meteo ERA5
2026-07-13,Pelotas,-31.7654,-52.3376,0.3,Open-Meteo ERA5
2026-07-13,Porto Alegre,-30.0346,-51.2177,0.2,Open-Meteo ERA5
2026-07-13,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-13,Santa Cruz do Sul,-29.7186,-52.4311,0.5,Open-Meteo ERA5
2026-07-13,Santa Maria,-29.6842,-53.8069,0.2,Open-Meteo ERA5
2026-07-13,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-14,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
2026-07-14,Caxias do Sul,-29.1681,-51.1794,0.0,Open-Meteo ERA5
2026-07-14,Lajeado,-29.4669,-51.9614,0.0,Open-Meteo ERA5
2026-07-14,Passo Fundo,-28.2625,-52.4083,0.0,Open-Meteo ERA5
2026-07-14,Pelotas,-31.7654,-52.3376,0.0,Open-Meteo ERA5
2026-07-14,Porto Alegre,-30.0346,-51.2177,0.0,Open-Meteo ERA5
2026-07-14,Rio Grande,-32.035,-52.0986,0.0,Open-Meteo ERA5
2026-07-14,Santa Cruz do Sul,-29.7186,-52.4311,0.0,Open-Meteo ERA5
2026-07-14,Santa Maria,-29.6842,-53.8069,0.0,Open-Meteo ERA5
2026-07-14,Uruguaiana,-29.7547,-57.0883,0.0,Open-Meteo ERA5
2026-07-15,Bagé,-31.3314,-54.1069,0.0,Open-Meteo ERA5
